Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
010201-5,C7,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,605,104,591,36,594,46,,
010201-5,C8,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,619,68,601,28,605,34,,
010201-5,C15,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,736,92,755,40,750,50,,
010201-5,C4,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,777,66,791,44,788,50,,
010201-5,C21,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,780,52,761,46,766,50,,
010201-5,C5,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,792,44,776,46,780,48,,
010201-5,C22,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,793,68,783,52,785,58,,
010201-5,C14,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,795,40,800,42,799,46,,
010201-5,C16,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,800,48,817,52,812,54,,
010201-5,C11,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,804,62,754,36,766,44,,
