Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
Dwcomp_19,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Granite (Choma-Kalomo block),Granite (Choma-Kalomo block),26,-16,Georeferenced,U–Pb SHRIMP zircon,,Bulambo et al. (2004),,1174,27,
Dwcomp_20,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Granite (Choma-Kalomo block),Granite (Choma-Kalomo block),27,-16,Georeferenced,U–Pb SHRIMP zircon,,Bulambo et al. (2004),,1177,70,
Dwcomp_21,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Granite (Choma-Kalomo block),Granite (Choma-Kalomo block),27,-16,Georeferenced,U–Pb SHRIMP zircon,,Bulambo et al. (2004),,1181,9,
Dwcomp_22,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Granite (Choma-Kalomo block),Granite (Choma-Kalomo block),26,-16,Georeferenced,U–Pb SHRIMP zircon,,Bulambo et al. (2004),,1188,11,
Dwcomp_23,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Granite (Choma-Kalomo block),Granite (Choma-Kalomo block),27,-16,Georeferenced,U–Pb SHRIMP zircon,,Bulambo et al. (2004),,1368,10,
Dwcomp_01,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Luangwa gneiss,Luangwa gneiss,30,-14,Georeferenced,LA-ICP-MS,,Cox et al. (2002),,2033,,
Dwcomp_02,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Luangwa gneiss,Luangwa gneiss,,,Georeferenced,LA–ICP–MS,,Cox et al. (2002),,2608,14,
Dwcomp_41,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Kaunga Granite,Kaunga Granite,32,-10,Georeferenced,U–Pb TIMS bulk zircon,,Daly (1986),,970,5,
CC10,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Porphyritic granite gneiss,Porphyritic granite gneiss,29,-14,Georeferenced,Concordia age,,De Waele 2005,,1952,6,
CC5,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Porphyritic granite,Porphyritic granite,29,-14,Georeferenced,Concordia age,,De Waele 2005,,1038,17,
